Identifikationsnr	Typ av objekt	Objekt	Alternativt nummer-Institutionsintern katalog/lista	Titel	Motiv-beskrivning	Avbildade - orter	Namn-Fotograf	Motiv-klassifikation-SAB	Motiv-ämnesord	Referens-Arkivreferenser	Rättigheter
TEKA0117459	Foto	Skioptikonbild med motiv av klostret La Cartuja de Granada. Bilden har förvarats i kartong märkt: Höstresan 1910. Granada 9. N:11. Text på bild: Convento de Cartuja"."	SKC3094	Klostret la Cartuja, Granada	Skioptikonbild med motiv av klostret La Cartuja de Granada.  Bilden har förvarats i kartong märkt: Höstresan 1910. Granada 9. N:11. Text på bild: Convento de Cartuja"."	Granada, ES (Spanien)	Curman, Sigurd	Byggnader för särskilda ändamål, ex. slott, kyrkor<Icd>	cartuja, de, granada, kloster, la, port, trappa	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0117464	Foto	Skioptikonbild med motiv av Josenturm, Schwäbisch Hall. Bilden har förvarats i kartong märkt: Resan 1911. Schwäbisch Hall 9. XV. Text på bild: Josenturm"."	SKC3099	Josenturm vid Gelbinger Gasse, Schwäbisch Hall	Skioptikonbild med motiv av Josenturm, Schwäbisch Hall.  Bilden har förvarats i kartong märkt: Resan 1911. Schwäbisch Hall 9. XV. Text på bild: Josenturm"."	Schwäbische Hall, DE (Tyskland)	Curman, Sigurd	Byggnader för särskilda ändamål, ex. slott, kyrkor<Icd>	josefs, josenturm, stadsbild, torn	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0117467	Foto	Skioptikonbild med motiv av gatan Heilbronner Strasse mot tornet Josenturm i Schwäbisch Hall. Bilden har förvarats i kartong märkt: Resan 1911. Schwäbisch Hall 9. XV. Text på bild: Heilbronner mot J"	SKC3102	Josenturm vid Heilbronner Strasse, Schwäbisch Hall	Skioptikonbild med motiv av gatan Heilbronner Strasse mot tornet Josenturm i Schwäbisch Hall.  Bilden har förvarats i kartong märkt: Resan 1911. Schwäbisch Hall 9. XV. Text på bild: Heilbronner mot Josenturm"."	Schwäbische Hall, DE (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	heilbronner, josefs, josenturm, stadsbild, torn	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0117468	Foto	Skioptikonbild med motiv från Badtorweg i Schwäbische Hall med Josenturm i bakgrunden. Bilden har förvarats i kartong märkt: Resan 1911. Schwäbisch Hall 9. XV. Text på bild: Badtorwey mit Josenturm""	SKC3103	Badtorweg i Schwäbisch Hall	Skioptikonbild med motiv från Badtorweg i Schwäbische Hall med Josenturm i bakgrunden.  Bilden har förvarats i kartong märkt: Resan 1911. Schwäbisch Hall 9. XV. Text på bild: Badtorwey mit Josenturm"."	Schwäbische Hall, DE (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	josefs, josenturm, stadsbild, torn	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0117470	Foto	Skioptikonbild med motiv från Dr Martin Luther-Strasse i  Dinkelsbühl. Bilden har förvarats i kartong märkt: Resan 1911. Dinkelsbühl 10. III.	SKC3105	Dr Martin Luther-Strasse i Dinkelsbühl	Skioptikonbild med motiv från Dr Martin Luther-Strasse i  Dinkelsbühl.  Bilden har förvarats i kartong märkt: Resan 1911. Dinkelsbühl 10. III.	Dinkelsbühl, DE (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	cykel, man, stadsbild, staty, torg	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0117474	Foto	Skioptikonbild med motiv pissoar på väg in till Dinkelsbühl. Bilden har förvarats i kartong märkt: Resan 1911. Dinkelsbühl 10. III.	SKC3109	Pissoar vid Dinkelsbühl	Skioptikonbild med motiv pissoar på väg in till Dinkelsbühl.  Bilden har förvarats i kartong märkt: Resan 1911. Dinkelsbühl 10. III.	Dinkelsbühl, DE (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	pissoar, stadsvy, toalett	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0117481	Foto	Skioptikonbild med motiv från promenaden Paseo de la Ribera, Cordoba. Bilden har förvarats i kartong märkt: Höstresan 1910. Cordoba 9. N:4. Text på bild: Paseo de Ribera"."	SKC3116	Strandpromenaden i Cordoba	Skioptikonbild med motiv från promenaden Paseo de la Ribera, Cordoba.  Bilden har förvarats i kartong märkt: Höstresan 1910. Cordoba 9. N:4. Text på bild: Paseo de Ribera"."	Cordoba, ES (Spanien)	Curman, Sigurd	Arkitektur<Ic>	de, gata, kärra, paseo, promenad, ribera, stadsbild, telefonstolpe	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0117484	Foto	Skioptikonbild med motiv av Romerska bron, Cordoba.  Bilden har förvarats i kartong märkt: Höstresan 1910. Cordoba 9. N:4. Text på bild: Moriska bron"."	SKC3119	Romerska bron i Cordoba	Skioptikonbild med motiv av Romerska bron, Cordoba.    Bilden har förvarats i kartong märkt: Höstresan 1910. Cordoba 9. N:4. Text på bild: Moriska bron"."	Cordoba, ES (Spanien)	Curman, Sigurd	Arkitektur<Ic>	bron, romersk, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0117489	Foto	Skioptikonbild med motiv av Calle de Alacalá, den längsta gatan i Madrid. Bilden har förvarats i kartong märkt: Höstresan 1910. Madrid 9. N:2. Text på bild: Calle de Alacadá"."	SKC3124	Gatan Calle de Alacalá, Madrid	Skioptikonbild med motiv av Calle de Alacalá, den längsta gatan i Madrid.  Bilden har förvarats i kartong märkt: Höstresan 1910. Madrid 9. N:2. Text på bild: Calle de Alacadá"."	Madrid, ES,   (Spanien)	Curman, Sigurd	Arkitektur<Ic>	spårväg, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0117490	Foto	Skioptikonbild med motiv av Iglesia De San Jose vid Calle de Alacalá, den längsta gatan i Madrid. Bilden har förvarats i kartong märkt: Höstresan 1910. Madrid 9. N:2. Text på bild: Calle de Alacadá""	SKC3125	Iglesia De San Jose i Madrid	Skioptikonbild med motiv av Iglesia De San Jose vid Calle de Alacalá, den längsta gatan i Madrid.  Bilden har förvarats i kartong märkt: Höstresan 1910. Madrid 9. N:2. Text på bild: Calle de Alacadá"."	Madrid, ES,   (Spanien)	Curman, Sigurd	Arkitektur<Ic>	häst, kärra, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0117495	Foto	Skioptikonbild med motiv från Puerta del Sol, Madrid. Bilden har förvarats i kartong märkt: Höstresan 1910. Madrid 9. N:2. Text på bild: Puerta del Sol"."	SKC3130	Puerta del Sol i Madrid	Skioptikonbild med motiv från Puerta del Sol, Madrid.  Bilden har förvarats i kartong märkt: Höstresan 1910. Madrid 9. N:2. Text på bild: Puerta del Sol"."	Madrid, ES,   (Spanien)	Curman, Sigurd	Arkitektur<Ic>	del, puerta, sol, stadsbild, torg	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0117499	Foto	Skioptikonbild med motiv från Die Stadtmühle vid vallgraven i Dinkelsbühl. Bilden har förvarats i kartong märkt: Resan 1911. Dinkelsbühl 9. VI. Text på bild: Die Stadtmühle"."	SKC3134	Stadtmühle vid vallgraven i Dinkelsbühl	Skioptikonbild med motiv från Die Stadtmühle vid vallgraven i Dinkelsbühl.  Bilden har förvarats i kartong märkt: Resan 1911. Dinkelsbühl 9. VI. Text på bild: Die Stadtmühle"."	Dinkelsbühl, DE (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	stadsbild, stadsmur, torn, vallgrav	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0117509	Foto	Skioptikonbild med motiv av Marknadsbrunnen i Schwäbisch Hall. Bilden har förvarats i kartong märkt: Resan 1911. Schwäbisch Hall 9. XVII. Text på bild: Marktbrunnen. 1509"."	SKC3144	Marktbrunnen, Schwäbisch Hall	Skioptikonbild med motiv av Marknadsbrunnen i Schwäbisch Hall.  Bilden har förvarats i kartong märkt: Resan 1911. Schwäbisch Hall 9. XVII. Text på bild: Marktbrunnen. 1509"."	Schwäbische Hall, DE (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	der, marknadsbrunnen, marktbrunnen, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0117518	Foto	Skioptikonbild med motiv av Wörnitztor, Dinkelsbühl. Bilden har förvarats i kartong märkt: Resan 1911. Dinkelsbühl 9. II. Text på bild: Wörnitz Thor"."	SKC3153	Rådhusbrunnen vid Wörnitztor i Dinkelsbüh	Skioptikonbild med motiv av Wörnitztor, Dinkelsbühl.  Bilden har förvarats i kartong märkt: Resan 1911. Dinkelsbühl 9. II. Text på bild: Wörnitz Thor"."	Dinkelsbühl, DE (Tyskland)	Curman, Sigurd	Byggnader för särskilda ändamål, ex. slott, kyrkor<Icd>	stadsbild, stadsmur, thor, torn, wörnitz	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0117520	Foto	Skioptikonbild med motiv av St. Georgskirche i Dinkelsbühl. Bilden har förvarats i kartong märkt: Resan 1911. Dinkelsbühl 9. II.	SKC3155	St Georgskirche i Dinkelsbühl	Skioptikonbild med motiv av St. Georgskirche i Dinkelsbühl.  Bilden har förvarats i kartong märkt: Resan 1911. Dinkelsbühl 9. II.	Dinkelsbühl, DE (Tyskland)	Curman, Sigurd	Byggnader för särskilda ändamål, ex. slott, kyrkor<Icd>	georgs, katedral, kirche, kyrka, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0117521	Foto	Skioptikonbild med motiv från Ledermarkt i Dinkelsbühl med St. Georgskirche. Bilden har förvarats i kartong märkt: Resan 1911. Dinkelsbühl 9. II. Text på bild: St. Georgs"."	SKC3156	Ledermarkt i Dinkelsbühl	Skioptikonbild med motiv från Ledermarkt i Dinkelsbühl med St. Georgskirche.  Bilden har förvarats i kartong märkt: Resan 1911. Dinkelsbühl 9. II. Text på bild: St. Georgs"."	Dinkelsbühl, DE (Tyskland)	Curman, Sigurd	Byggnader för särskilda ändamål, ex. slott, kyrkor<Icd>	georgs, katedral, kirche, kyrka, stadsbilld	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0117523	Foto	Skioptikonbild med motiv från Weinmarkt i Dinkelsbühl. Bilden har förvarats i kartong märkt: Resan 1911. Dinkelsbühl 9. II.	SKC3158	Weinmarkt i Dinkelsbühl	Skioptikonbild med motiv från Weinmarkt i Dinkelsbühl.  Bilden har förvarats i kartong märkt: Resan 1911. Dinkelsbühl 9. II.	Dinkelsbühl, DE (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	hus, stadsbild, telefongalge, torn	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0117524	Foto	Skioptikonbild med motiv från Weinmarkt, Dinkelsbühl. Bilden har förvarats i kartong märkt: Resan 1911. Dinkelsbühl 9. II. Text på bild: Weinmarkt"."	SKC3159	Weinmarkt i Dinkelsbühl	Skioptikonbild med motiv från Weinmarkt, Dinkelsbühl.  Bilden har förvarats i kartong märkt: Resan 1911. Dinkelsbühl 9. II. Text på bild: Weinmarkt"."	Dinkelsbühl, DE (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	stadsbild, torg, weinmarkt	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0117531	Foto	Skioptikonbild med motiv från gatan Rödergasse som passerar genom Markusturm, Rothenburg.  Bilden har förvarats i kartong märkt: Vårresan 1910. Rothenburg. XXVII. Text på bild: Röder str. Markustur"	SKC3166	Markusturm på Rödergasse i Rothenburg	Skioptikonbild med motiv från gatan Rödergasse som passerar genom Markusturm, Rothenburg.    Bilden har förvarats i kartong märkt: Vårresan 1910. Rothenburg. XXVII. Text på bild: Röder str. Markusturm"."	Rothenburg, DE (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	marcusturm, portal, röder, stadsbild, strasse, torn, valvport	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0117536	Foto	Skioptikonbild med motiv från Celle. Fotografiet är taget vid Stadtkirche, längs vägen Stechbahn mot Zöllnerstrasse.  Bilden har förvarats i kartong märkt: Vårresan 1909. Celle 4. Braunschweig 5. II	SKC3171	Stechbahn i Celle	Skioptikonbild med motiv från Celle. Fotografiet är taget vid Stadtkirche, längs vägen Stechbahn mot Zöllnerstrasse.    Bilden har förvarats i kartong märkt: Vårresan 1909. Celle 4. Braunschweig 5. II.	Celle, DE,   (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	gata, hus, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0117537	Foto	Skioptikonbild med motiv från Celle. Bilden har förvarats i kartong märkt: Vårresan 1909. Celle 4. Braunschweig 5. II.	SKC3172	Fackverkshus i Celle	Skioptikonbild med motiv från Celle.  Bilden har förvarats i kartong märkt: Vårresan 1909. Celle 4. Braunschweig 5. II.	Celle, DE,   (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	gata, hus, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0117542	Foto	Skioptikonbild med motiv av barn på gata vid Jörgentor med Vortor i Münnerstadt. Bilden har förvarats i kartong märkt: Vårresan 1910. Münnerstadt 9. VII.	SKC3177	Jörgentor med förport	Skioptikonbild med motiv av barn på gata vid Jörgentor med Vortor i Münnerstadt.  Bilden har förvarats i kartong märkt: Vårresan 1910. Münnerstadt 9. VII.	Münnerstadt, DE (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	barn, gata, stadsbild, stadsmur, valvport	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0117546	Foto	Skioptikonbild med motiv av liten flicka vid tornet Jörgentor i stadsmuren, Münnerstadt. Bilden har förvarats i kartong märkt: Vårresan 1910. Münnerstadt 9. VII.	SKC3181	Jörgentor i Münnerstadt	Skioptikonbild med motiv av liten flicka vid tornet Jörgentor i stadsmuren, Münnerstadt.  Bilden har förvarats i kartong märkt: Vårresan 1910. Münnerstadt 9. VII.	Münnerstadt, DE (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	barn, flicka, stadsbild, stadsmur, torn, trappa	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0117553	Foto	Skioptikonbild med motiv av Langenfelder Tor, Schwäbisch Hall. Bilden har förvarats i kartong märkt: Resan Schwäbisch  Hall 9. XIV. Text på bild: Langenfelder Tor"."	SKC3188	Langenfelder Tor i Schwäbisch Hall	Skioptikonbild med motiv av Langenfelder Tor, Schwäbisch Hall.  Bilden har förvarats i kartong märkt: Resan Schwäbisch  Hall 9. XIV. Text på bild: Langenfelder Tor"."	Schwäbische Hall, DE (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	langenfelder, stadsbild, stadsmur, tor, torn	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0117556	Foto	Skioptikonbild med motiv av försvarstorn vid Rosenbühl nära Crailsheimer Tor, Schwäbisch Hall.  Bilden har förvarats i kartong märkt: Resan Schwäbisch  Hall 9. XIV. Text på bild: Langenfelder Tor"."	SKC3191	Försvarstorn vid Rosenbühl, Schwäbisch Hall	Skioptikonbild med motiv av försvarstorn vid Rosenbühl nära Crailsheimer Tor, Schwäbisch Hall.    Bilden har förvarats i kartong märkt: Resan Schwäbisch  Hall 9. XIV. Text på bild: Langenfelder Tor"."	Schwäbische Hall, DE (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	langenfelder, stadsbild, stadsmur, tor, torn	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0117558	Foto	Skioptikonbild med motiv av fyra män studerande Crailsheimer Tor, Schwäbisch Hall.  Bilden har förvarats i kartong märkt: Resan Schwäbisch  Hall 9. XIV. Text på bild: Langenfelder Tor"."	SKC3193	Crailsheimer Tor, Schwäbisch Hall	Skioptikonbild med motiv av fyra män studerande Crailsheimer Tor, Schwäbisch Hall.    Bilden har förvarats i kartong märkt: Resan Schwäbisch  Hall 9. XIV. Text på bild: Langenfelder Tor"."	Schwäbische Hall, DE (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	langenfelder, man, stadsbild, tor, torn	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0117559	Foto	Skioptikonbild med motiv från gatan Neue Strasse, Schwäbisch Hall. Bilden har förvarats i kartong märkt: Resan Schwäbisch  Hall 9. XIV. Text på bild: Neue Strasse"."	SKC3194	Neue Strasse, Schwäbisch Hall	Skioptikonbild med motiv från gatan Neue Strasse, Schwäbisch Hall.  Bilden har förvarats i kartong märkt: Resan Schwäbisch  Hall 9. XIV. Text på bild: Neue Strasse"."	Schwäbische Hall, DE (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	gata, neue, stadsbild, strasse	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0117567	Foto	Skioptikonbild med motiv av vy över Granada sett från Albaicin.  Bilden har förvarats i kartong märkt: Höstresan 1910. Granada. N:16. Text på bild: från Albaicin"."	SKC3202	Granada sett från Albaicin	Skioptikonbild med motiv av vy över Granada sett från Albaicin.    Bilden har förvarats i kartong märkt: Höstresan 1910. Granada. N:16. Text på bild: från Albaicin"."	Granada, ES (Spanien)	Curman, Sigurd	Arkitektur<Ic>	gata, stadsbild, stadsvy	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0117576	Foto	Skioptikonbild med motiv från innanför stadsmuren i Dinkelsbühl, Krugsturm vid Oberer Mauerweg längs västra muren. Bilden har förvarats i kartong märkt: Höstresan 1911. Dinkelsbühl 9. IV. Text på bil	SKC3211	Krugsturm vid Oberer Mauerweg, Dinkelsbühl	Skioptikonbild med motiv från innanför stadsmuren i Dinkelsbühl, Krugsturm vid Oberer Mauerweg längs västra muren.  Bilden har förvarats i kartong märkt: Höstresan 1911. Dinkelsbühl 9. IV. Text på bild: vestra muren"."	Dinkelsbühl, DE (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	gärdesgård, muren, stadsbild, stadsmur, torn, västra	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0117585	Foto	Skioptikonbild med motiv från slottsgården, Alhambra med lejonfontänen Patio de los Leones. Bilden har förvarats i kartong märkt: Höstresan 1910. Alhambra 9. N:17. Text på bild: Patio de los Leones""	SKC3220	Alhambra med lejonfontänen Patio de los Leones	Skioptikonbild med motiv från slottsgården, Alhambra med lejonfontänen Patio de los Leones.  Bilden har förvarats i kartong märkt: Höstresan 1910. Alhambra 9. N:17. Text på bild: Patio de los Leones"."	Granada, ES (Spanien)	Curman, Sigurd	Byggnader för särskilda ändamål, ex. slott, kyrkor<Icd>	alhambra, de, fontän, leones, los, palats, patio, slottsgård	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0117587	Foto	Skioptikonbild med motiv av vy över stadsdelen Albaicin i Granada med valvporten Puerta de Elvira.  Bilden har förvarats i kartong märkt: Höstresan 1910. Granada 9. N:13. Text på bild: Albaicin och"	SKC3222	Albaicin med valvporten Puerta de Elvira	Skioptikonbild med motiv av vy över stadsdelen Albaicin i Granada med valvporten Puerta de Elvira.    Bilden har förvarats i kartong märkt: Höstresan 1910. Granada 9. N:13. Text på bild: Albaicin och Puerta de Elvira"."	Granada, ES (Spanien)	Curman, Sigurd	Arkitektur<Ic>	albaicin, de, elvira, puerta, stadsbild, valvport	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0117591	Foto	Skioptikonbild med motiv av vy över stadsdelen Albaicin, Granada. Bilden har förvarats i kartong märkt: Höstresan 1910. Granada 9. N:13. Text på bild: Albaicin från gran via de Colón"."	SKC3226	Albaicin från Gran via de Colón	Skioptikonbild med motiv av vy över stadsdelen Albaicin, Granada.  Bilden har förvarats i kartong märkt: Höstresan 1910. Granada 9. N:13. Text på bild: Albaicin från gran via de Colón"."	Granada, ES (Spanien)	Curman, Sigurd	Arkitektur<Ic>	albaicin, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0117595	Foto	Skioptikonbild med motiv av torgförsäljning vid Obstmarkt i Nürnberg. Bilden har förvarats i kartong märkt: Vårresan 1910. Nürnberg 9. XIV. Text på bild: Obstmark"."	SKC3230	Torgförsäljning vid Obstmarkt i Nürnberg	Skioptikonbild med motiv av torgförsäljning vid Obstmarkt i Nürnberg.  Bilden har förvarats i kartong märkt: Vårresan 1910. Nürnberg 9. XIV. Text på bild: Obstmark"."	Nürnberg (Tyskland (DE))	Curman, Sigurd	Arkitektur<Ic>	marknadsstånd, stadsbild, torgförsäljning	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0117632	Foto	Skioptikonbild med motiv av övertäckt bro i stadsmuren, Nürnberg. Bilden har förvarats i kartong märkt: Resan 1910. Nürnberg 10. XVIII.	SKC3267	Övertäckt bro i stadsmuren, Nürnberg	Skioptikonbild med motiv av övertäckt bro i stadsmuren, Nürnberg.  Bilden har förvarats i kartong märkt: Resan 1910. Nürnberg 10. XVIII.	Nürnberg (Tyskland (DE))	Curman, Sigurd	Arkitektur<Ic>	brygga, fleischerbrügge, flod, pegnitz, slaktarens, stadsbild, valvbro	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0117635	Foto	Skioptikonbild med motiv från Per Weijersgatan från Gråbrödragatan i Malmö. Bilden har förvarats i kartong märkt: Resan 1912. Malmö. Ystad. Rostock. Text på bild: Per Vayersgatan 1912"."	SKC3270	Per Weijersgatan i Malmö	Skioptikonbild med motiv från Per Weijersgatan från Gråbrödragatan i Malmö.  Bilden har förvarats i kartong märkt: Resan 1912. Malmö. Ystad. Rostock. Text på bild: Per Vayersgatan 1912"."	Skåne, Malmö, Malmö (Sverige (SE))	Curman, Sigurd	Arkitektur<Ic>	per, stadsbild, tobaksbutik, vayersgatan	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0117636	Foto	Skioptikonbild med motiv från Malmö. Bilden har förvarats i kartong märkt: Resan 1912. Malmö. Ystad. Rostock.	SKC3271	Motiv från Malmö	Skioptikonbild med motiv från Malmö.  Bilden har förvarats i kartong märkt: Resan 1912. Malmö. Ystad. Rostock.	Skåne, Malmö, Malmö (Sverige (SE))	Curman, Sigurd	Arkitektur<Ic>	gatuarbete, kullerstensläggning, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0117637	Foto	Skioptikonbild med motiv av Sankta Maria kyrka i Ystad. Bilden har förvarats i kartong märkt: Resan 1912. Malmö. Ystad. Rostock.	SKC3272	Sankta Maria kyrka i Ystad	Skioptikonbild med motiv av Sankta Maria kyrka i Ystad.  Bilden har förvarats i kartong märkt: Resan 1912. Malmö. Ystad. Rostock.	Skåne, Ystad, Ystad (Sverige (SE))	Curman, Sigurd	Byggnader för särskilda ändamål, ex. slott, kyrkor<Icd>	kyrka, maria, sankta, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0117641	Foto	Skioptikonbild med motiv från Rostock med Sankt Marienkirche i bakgrunden. Bilden har förvarats i kartong märkt: Resan 1912. Malmö. Ystad. Rostock.	SKC3276	St Marienkirche i Rostock	Skioptikonbild med motiv från Rostock med Sankt Marienkirche i bakgrunden.  Bilden har förvarats i kartong märkt: Resan 1912. Malmö. Ystad. Rostock.	Rostock, DE (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	kirche, kyrka, marien, sankt, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0117642	Foto	Skioptikonbild med motiv av stadsporten Kröpeliner Tor, Rostock. Bilden har förvarats i kartong märkt: Resan 1912. Malmö. Ystad. Rostock. Text på bild:  Kröpeliner Tor fr.XIV. 1847"."	SKC3277	Kröpeliner Tor, Rostock	Skioptikonbild med motiv av stadsporten Kröpeliner Tor, Rostock.  Bilden har förvarats i kartong märkt: Resan 1912. Malmö. Ystad. Rostock. Text på bild:  Kröpeliner Tor fr.XIV. 1847"."	Rostock, DE (Tyskland)	Curman, Sigurd	Byggnader för särskilda ändamål, ex. slott, kyrkor<Icd>	kröpeliner, stadsbild, stadsport, tor	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0117652	Foto	Skioptikonbild med motiv av Stadtpfarrkirche Sankt Kilian, Fladungen, vid sidan ett torn i stadsmuren. Bilden har förvarats i kartong märkt: Vårresan 1910. Fladungen 7. X.	SKC3287	Kyrkan St Kilian i Fladungen	Skioptikonbild med motiv av Stadtpfarrkirche Sankt Kilian, Fladungen, vid sidan ett torn i stadsmuren.  Bilden har förvarats i kartong märkt: Vårresan 1910. Fladungen 7. X.	Fladungen, DE (Tyskland)	Curman, Sigurd	Byggnader för särskilda ändamål, ex. slott, kyrkor<Icd>	der, kilian, kyrka, sankt, stadsbild, stadtmauer, stadtpfarrkirche, turm	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0117663	Foto	Skioptikonbild med motiv av fontänen Herrnbrunnen i Rothenburg, med tornet till St. Jakobs Kirche i bakgrunden. Bilden har förvarats i kartong märkt: Vårresan 1910. Rothenburg. XXV.	SKC3298	Herrnbrunnen i Rothenburg	Skioptikonbild med motiv av fontänen Herrnbrunnen i Rothenburg, med tornet till St. Jakobs Kirche i bakgrunden.  Bilden har förvarats i kartong märkt: Vårresan 1910. Rothenburg. XXV.	Rothenburg, DE (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	fontän, jakobs, kirche, kyrka, stadsbild, torn	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0117665	Foto	Skioptikonbild med motiv av hus vid Juden Kirchhof, Judiska kyrkogården, Rothenburg. Bilden har förvarats i kartong märkt: Vårresan 1910. Rothenburg. XXV. Text på bild: Juden Kirchhof"."	SKC3300	Hus vid Judiska kyrkogården, Rothenburg	Skioptikonbild med motiv av hus vid Juden Kirchhof, Judiska kyrkogården, Rothenburg.  Bilden har förvarats i kartong märkt: Vårresan 1910. Rothenburg. XXV. Text på bild: Juden Kirchhof"."	Rothenburg, DE (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	juden, judiska, kirchhof, kyrkogården, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
