Identifikationsnr	Typ av objekt	Objekt	Alternativt nummer-Institutionsintern katalog/lista	Titel	Motiv-beskrivning	Avbildade - orter	Namn-Fotograf	Motiv-klassifikation-SAB	Motiv-ämnesord	Referens-Arkivreferenser	Rättigheter
TEKA0116852	Foto	Skioptikonbild med motiv av man på gata/ gränd i Rothenburg. Bilden har förvarats i kartong märkt: Vårresan 1910. Rothenburg XXIX.	SKC2487	Man på gata i Rothenburg	Skioptikonbild med motiv av man på gata/ gränd i Rothenburg.  Bilden har förvarats i kartong märkt: Vårresan 1910. Rothenburg XXIX.	Rothenburg, DE (Tyskland)	Curman, Sigurd	Arkitektur<Ic>	gata, gränd, man, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0116853	Foto	Skioptikonbild med motiv av rådhuset i Rothenburg. Torget med fontänen Herterich Brunnen bredvid. Bilden har förvarats i kartong märkt: Vårresan 1910. Rothenburg XXIX.. Text på bild: Rathaus Herrens"	SKC2488	Rådhuset i Rothenburg med Herterichfontänten	Skioptikonbild med motiv av rådhuset i Rothenburg. Torget med fontänen Herterich Brunnen bredvid.  Bilden har förvarats i kartong märkt: Vårresan 1910. Rothenburg XXIX.. Text på bild: Rathaus Herrenstrasse"."	Rothenburg, DE (Tyskland)	Curman, Sigurd	Byggnader för särskilda ändamål, ex. slott, kyrkor<Icd>	fontän, rådhus, stadsbild, torg	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0116860	Foto	Skioptikonbild med motiv av torn vid nordvästra muren i Nürnberg, 1910. Bilden har förvarats i kartong märkt: Vårresan 1910. Nürnberg XIX.	SKC2495	Mur vid Kaiserburg, Nürnberg	Skioptikonbild med motiv av torn vid nordvästra muren i Nürnberg, 1910.  Bilden har förvarats i kartong märkt: Vårresan 1910. Nürnberg XIX.	Nürnberg (Tyskland (DE))	Curman, Sigurd	Byggnader för särskilda ändamål, ex. slott, kyrkor<Icd>	kaiserburg, mur, slott, stadsbild, vaktgång	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0116864	Foto	Skioptikonbild med motiv av man på gata i Amberg, kyrkan i bakgrunden. Bilden har förvarats i kartong märkt: Amberg. 10.	SKC2499	Ledergasse, Amberg	Skioptikonbild med motiv av man på gata i Amberg, kyrkan i bakgrunden.  Bilden har förvarats i kartong märkt: Amberg. 10.	Amberg (Tyskland (DE))	Curman, Sigurd	Arkitektur<Ic>	gata, kyrka, man, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0116867	Foto	Skioptikonbild med motiv av marknadsstånd på torget framför rådhuset i Amberg. Bilden har förvarats i kartong märkt: Amberg. 10. Text på bild: Rathaus"."	SKC2502	Marknadsstånd på Marktplatz, Amberg	Skioptikonbild med motiv av marknadsstånd på torget framför rådhuset i Amberg.  Bilden har förvarats i kartong märkt: Amberg. 10. Text på bild: Rathaus"."	Amberg (Tyskland (DE))	Curman, Sigurd	Byggnader för särskilda ändamål, ex. slott, kyrkor<Icd>	marknadsstånd, rådhus, stadsbild, torg	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0116872	Foto	Skioptikonbild med motiv av hus vid stranden av floden Vils, Amberg. Bilden har förvarats i kartong märkt: Amberg. 10.	SKC2507	Vy över floden Vils, Amberg	Skioptikonbild med motiv av hus vid stranden av floden Vils, Amberg.  Bilden har förvarats i kartong märkt: Amberg. 10.	Amberg (Tyskland (DE))	Curman, Sigurd	Arkitektur<Ic>	flod, stadsbild, strand, vils	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0116876	Foto	Skioptikonbild med motiv från Braunschweig, Bilden har förvarats i kartong märkt: Braunschweig. IV. 6.	SKC2511	Fackverkshus i Braunschweig	Skioptikonbild med motiv från Braunschweig,  Bilden har förvarats i kartong märkt: Braunschweig. IV. 6.	Braunschweig (Tyskland (DE))	Curman, Sigurd	Arkitektur<Ic>	gata, hus, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0116878	Foto	Skioptikonbild med motiv från Braunschweig med tornet till Weitere Kirche bakgrunden. Bilden har förvarats i kartong märkt: Braunschweig. IV. 6. Text på bild: Andreas. K. Weberstr."."	SKC2513	S:t Andreaskirche i Braunschweig	Skioptikonbild med motiv från Braunschweig med tornet till Weitere Kirche bakgrunden.  Bilden har förvarats i kartong märkt: Braunschweig. IV. 6. Text på bild: Andreas. K. Weberstr."."	Braunschweig (Tyskland (DE))	Curman, Sigurd	Arkitektur<Ic>	kirchei, kyrka, stadsbild, torn, weitere	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0116879	Foto	Skioptikonbild med motiv från Braunschweig. Bilar och lekande barn på gata. Bilden har förvarats i kartong märkt: Braunschweig. IV. 6. Text på bild: Guldens Fraise"."	SKC2514	Gatuvy från Braunschweig	Skioptikonbild med motiv från Braunschweig. Bilar och lekande barn på gata.  Bilden har förvarats i kartong märkt: Braunschweig. IV. 6. Text på bild: Guldens Fraise"."	Braunschweig (Tyskland (DE))	Curman, Sigurd	Arkitektur<Ic>	barn, bil, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
TEKA0116881	Foto	Skioptikonbild med motiv från Braunschweig. Gata med Katharinenkirche i bakgrunden. Bilden har förvarats i kartong märkt: Braunschweig. IV. 6	SKC2516	Gatuvy med Katharinenkirche i Braunschweig	Skioptikonbild med motiv från Braunschweig. Gata med Katharinenkirche i bakgrunden.  Bilden har förvarats i kartong märkt: Braunschweig. IV. 6	Braunschweig (Tyskland (DE))	Curman, Sigurd	Arkitektur<Ic>	gata, katedral, stadsbild	Arkivreferenser: Sigurd Curmans arkiv / Tekniska museet (SC-K1-1)	Public Domain
